name,capacity
Janson,1415
K.1.105 (La Fontaine),805
H.2215 (Ferrer),288
H.1301 (Cornil),189
H.1302 (Depage),206
H.1308 (Rolin),148
H.1309 (Van Rijn),146
H.2111,40
H.2213,100
H.2214,100
H.3242,56
H.3244,56
J.1.106,70
AW1.120,74
AW1.121,82
AW1.125,76
AW1.126,82
K.3.201,80
K.3.401,80
K.4.201,80
K.4.401,80
K.4.601,80
UA2.114 (Baudoux),207
UA2.118 (Henriot),246
UA2.220 (Guillissen),292
UB2.147,91
UB2.252A (Lameere),532
UB4.132,96
UB4.136,96
UB4.228,47
UB5.132,306
UB5.230,192
UD2.119,50
UD2.120 (Chavanne),446
UD2.208 (Decroly),174
UD2.218A,363
